event_num,interaction_num,index,crystal,edep,x,y,z,slice_sect,time
1692,0,5959,9,116.543,-1.878,-7.558,-23.862,10,125123168.111
1692,1,5960,9,433.522,-1.766,-7.482,-26.175,20,125123168.188
1692,2,5961,9,121.982,-0.334,-7.1,-26.881,35,125123168.243
1692,3,5963,14,198.222,8.247,-8.829,-24.175,25,125123168.556
1692,4,5965,14,157.471,7.807,-9.855,-24.752,34,125123168.597
1693,0,5966,13,795.514,13.374,-1.494,-27.328,44,104844248.412
1693,1,5967,13,227.563,13.907,-1.483,-26.243,44,104844248.452
1694,0,5969,20,994.007,7.698,14.049,-20.92,24,153771386.296
1695,0,5970,44,377.336,18.163,-4.441,-24.868,54,123775708.43
1696,0,5971,26,121.342,-12.748,13.904,-21.29,35,219700682.253
1696,1,5973,26,877.545,-13.851,14.191,-23.088,45,219700682.329
1697,0,5974,43,585.026,18.887,-11.977,-17.735,34,15098733.478
1698,0,5975,14,758.693,11.908,-6.9,-27.502,40,197203066.02
1698,1,5976,14,54.304,12.446,-6.827,-26.848,41,197203066.048
1698,2,5977,14,85.658,12.267,-6.653,-26.257,41,197203066.07
1698,3,5978,14,151.431,12.831,-6.699,-26.278,41,197203066.089
1699,0,5979,44,270.972,13.746,-3.32,-20.604,14,203773732.438
1699,1,5980,13,238.168,15.512,-0.844,-26.763,54,203773732.667
1700,0,5981,29,553.727,-16.169,3.322,-20.401,21,99366027.806
1700,1,5983,4,443.793,-11.759,8.575,-27.338,53,99366028.137
1701,0,5984,4,97.67,-7.779,5.093,-24.943,22,9245167.989
1701,1,5985,4,23.275,-8.505,4.824,-25.646,32,9245168.025
1702,0,5986,1,103.537,5.382,12.466,-24.651,34,24445599.66
1702,1,5987,1,368.47,6.061,12.895,-25.735,44,24445599.705
1703,0,5988,28,458.02,-14.655,6.788,-21.646,24,49671704.097
1703,1,5989,28,132.978,-15.69,7.132,-21.669,35,49671704.134
1703,2,5991,28,406.77,-16.138,7.165,-21.202,25,49671704.17
1704,0,5992,40,475.531,6.312,-18.536,-22.166,42,90830051.813
1705,0,5993,38,478.836,-0.528,-20.869,-22.921,50,162333956.318
1706,0,5994,24,578.984,-15.874,14.006,-13.579,14,3282778.941
1706,1,5995,24,85.652,-13.702,14.941,-17.166,20,3282779.085
1706,2,5996,26,78.556,-10.709,15.714,-18.329,20,3282779.195
